subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Harsh,1,50,0.099534035,0.175773382,0.076239347,0.08665061,1.042023182,0.955372572,0.102726221,0.122994423,0.020268202,0.100309849,0.231390715,0.131080866,0.092752218,0.293565512,0.200813294,0.103845358,0.160063505,0.056218147,0.115700483,0.11021924,-0.005481243,0.132013559,0.114490509,-0.01752305,0.11880064,0.053069353,-0.065731287,0.125623226,0.203231096,0.07760787,0.104795218
Harsh,1,1,0.077530146,0.156383276,0.07885313,0.075720072,0.107444525,0.031724453,0.116103172,0.076684713,-0.039418459,0.089802027,0.176787615,0.086985588,0.076498985,0.285260916,0.208761931,0.092764378,0.145157814,0.052393436,0.111153603,0.092196465,-0.018957138,0.10103035,0.089439154,-0.011591196,0.104438305,0.059708118,-0.044730186,0.052937508,0.166270018,0.11333251,0.077600956
Harsh,1,2,0.091726065,0.158177614,0.06645155,0.073614359,0.083705902,0.010091543,0.110551834,0.097369671,-0.013182163,0.084141731,0.178801537,0.094659805,0.081579447,0.283196926,0.201617479,0.087410927,0.151258707,0.06384778,0.10812068,0.083205223,-0.024915457,0.107172728,0.098172903,-0.008999825,0.089778185,0.036300421,-0.053477764,0.085636616,0.188905001,0.103268385,0.092332125
Harsh,1,3,0.079244852,0.42758584,0.348340988,0.068205833,0.106700897,0.038495064,0.098267555,0.074372768,-0.023894787,0.089910746,0.181885958,0.091975212,0.080573082,0.340476751,0.259903669,0.122010708,0.1698699,0.047859192,0.102302074,0.113707304,0.01140523,0.102093458,0.089936256,-0.012157202,0.13828373,0.055050135,-0.083233595,0.137754917,0.237963915,0.100208998,0.094081163
Harsh,1,4,0.082546234,0.142693996,0.060147762,0.068605423,0.087708473,0.01910305,0.080647945,0.110659361,0.030011415,0.0873456,0.812608481,0.72526288,0.109209776,0.274229288,0.165019512,0.080822706,0.328443527,0.247620821,0.084973097,0.184728146,0.099755049,0.122196436,0.099107265,-0.02308917,0.13561368,0.103000164,-0.032613516,0.102902174,0.213825464,0.11092329,0.123388767
Harsh,1,5,0.087774754,0.163418293,0.075643539,0.073549271,1.10132575,1.02777648,0.08947134,0.162713766,0.073242426,0.100530624,0.634400368,0.533869743,0.083718777,0.298534155,0.214815378,0.109292984,0.208913088,0.099620104,0.129155874,0.517154694,0.387998819,0.115753174,0.083014488,-0.032738686,0.178274632,0.143148422,-0.035126209,0.120765448,0.273025513,0.152260065,0.142322302
Harsh,1,6,0.072721004,0.1924963,0.119775295,0.068537951,0.018636703,-0.049901247,0.093372107,0.159529686,0.066157579,0.094174147,0.29636097,0.202186823,0.058043242,0.233241558,0.175198317,0.076763868,0.136667967,0.059904099,0.119025707,0.092030287,-0.02699542,0.114928961,0.093271732,-0.021657228,0.099714518,0.053868532,-0.045845985,0.098464012,0.151085854,0.052621841,0.112939835
Harsh,1,7,0.084680796,0.157919169,0.073238373,0.082307577,0.115675688,0.033368111,0.100349665,0.117708206,0.017358541,0.061547041,0.183981895,0.122434855,0.079569578,0.217583418,0.13801384,0.080741882,0.127398014,0.046656132,0.110830069,0.131766081,0.020936012,0.120127916,0.124320746,0.004192829,0.143302202,0.095291853,-0.048010349,0.144880295,0.381670713,0.236790419,0.105193138
Harsh,1,8,0.080954075,0.125112534,0.044158459,0.079204798,0.116299629,0.037094831,0.094876528,0.082612276,-0.012264252,0.083582878,0.170866251,0.087283373,0.063220501,0.604584932,0.541364431,0.103579283,0.140977144,0.037397861,0.102353573,0.11486125,0.012507677,0.102837563,0.097465754,-0.005371809,0.096961021,0.057481527,-0.039479494,0.122647286,1.268844604,1.146197319,0.10559988
Harsh,1,9,0.098404884,0.157131672,0.058726788,0.083602667,0.112703085,0.029100418,0.095889091,0.085549355,-0.010339737,0.089882374,0.180766344,0.09088397,0.079457521,0.208622456,0.129164934,0.081702709,0.115410566,0.033707857,0.11489892,0.106094837,-0.008804083,0.114639759,0.10038209,-0.014257669,0.077840567,0.028398275,-0.049442291,0.107006073,0.170622826,0.063616753,0.110526323
Harsh,1,10,0.08198595,0.132706881,0.05072093,0.075300217,0.123207331,0.047907114,0.108306408,0.084574223,-0.023732185,0.085506201,0.171000242,0.085494041,0.079363346,0.224062443,0.144699097,0.076215744,0.169561863,0.093346119,0.055717945,0.242472172,0.186754227,0.100419521,0.141872644,0.041453123,0.113927603,0.132761478,0.018833876,0.105851173,0.181623697,0.075772524,0.138302088
Harsh,1,11,0.068000317,0.095939875,0.027939558,0.086516142,0.112067938,0.025551796,0.099087238,0.092762947,-0.006324291,0.070154667,0.159098864,0.088944197,0.071295977,0.221485138,0.150189161,0.088483572,1.872383356,1.783899784,0.099786997,0.089209318,-0.010577679,0.110229254,0.059897423,-0.050331831,0.12035799,0.087259769,-0.033098221,0.078362226,0.145656109,0.067293882,0.094756842
Harsh,1,12,0.094490051,0.231619835,0.137129784,0.086366177,0.094194651,0.007828474,0.098507404,0.107999563,0.009492159,0.089790106,0.193502188,0.103712082,0.086957693,0.396240473,0.30928278,0.153964758,0.916218042,0.762253285,0.088501215,0.101554394,0.013053179,0.121244907,0.147740603,0.026495695,0.158345461,0.212036133,0.053690672,0.127523899,0.42127943,0.293755531,0.135008335
Harsh,1,13,0.088382244,0.123552561,0.035170317,0.079044104,0.104421854,0.02537775,0.093544006,0.084069252,-0.009474754,0.097089529,0.898210287,0.801120758,0.072124958,0.852051258,0.7799263,0.098863363,0.153798103,0.05493474,0.103286743,0.082984924,-0.020301819,0.089928389,0.085237265,-0.004691124,0.119762659,0.07378006,-0.045982599,0.093496084,0.192799807,0.099303722,0.103753805
Harsh,1,14,0.073381662,0.138435364,0.065053701,0.068809748,0.098448038,0.02963829,0.089935303,0.084778786,-0.005156517,0.085585117,0.625188828,0.53960371,0.074778318,0.231865883,0.157087565,0.114126921,0.16448617,0.050359249,0.066190004,0.096095562,0.029905558,0.097996473,0.636948109,0.538951635,0.110047102,0.140677929,0.030630827,0.096559763,0.660477161,0.563917399,0.137247801
